field_id,year,crop_code,crop_name,crop_name_standardized
171623003907773,2020,1,Corn,Corn
171623003907856,2020,1,Corn,Corn
171623003908187,2020,1,Corn,Corn
171623003908442,2020,1,Corn,Corn
171623003907508,2020,1,Corn,Corn
171623003907854,2020,1,Corn,Corn
171623003907723,2020,1,Corn,Corn
171623003907306,2020,1,Corn,Corn
171623003907460,2020,1,Corn,Corn
171623003908443,2020,1,Corn,Corn
171623003907773,2021,1,Corn,Corn
171623003907856,2021,1,Corn,Corn
171623003908187,2021,1,Corn,Corn
171623003908442,2021,1,Corn,Corn
171623003907508,2021,1,Corn,Corn
171623003907854,2021,1,Corn,Corn
171623003907723,2021,1,Corn,Corn
171623003907306,2021,1,Corn,Corn
171623003907460,2021,1,Corn,Corn
171623003908443,2021,1,Corn,Corn
171623003907773,2022,1,Corn,Corn
171623003907856,2022,1,Corn,Corn
171623003908187,2022,1,Corn,Corn
171623003908442,2022,1,Corn,Corn
171623003907508,2022,1,Corn,Corn
171623003907854,2022,1,Corn,Corn
171623003907723,2022,1,Corn,Corn
171623003907306,2022,1,Corn,Corn
171623003907460,2022,1,Corn,Corn
171623003908443,2022,1,Corn,Corn
171623003907773,2023,1,Corn,Corn
171623003907856,2023,1,Corn,Corn
171623003908187,2023,1,Corn,Corn
171623003908442,2023,1,Corn,Corn
171623003907508,2023,1,Corn,Corn
171623003907854,2023,1,Corn,Corn
171623003907723,2023,1,Corn,Corn
171623003907306,2023,1,Corn,Corn
171623003907460,2023,1,Corn,Corn
171623003908443,2023,1,Corn,Corn
171623003907773,2024,1,Corn,Corn
171623003907856,2024,1,Corn,Corn
171623003908187,2024,1,Corn,Corn
171623003908442,2024,1,Corn,Corn
171623003907508,2024,1,Corn,Corn
171623003907854,2024,1,Corn,Corn
171623003907723,2024,1,Corn,Corn
171623003907306,2024,1,Corn,Corn
171623003907460,2024,1,Corn,Corn
171623003908443,2024,1,Corn,Corn
