field_id,latitude,longitude,area_acres,crop_name
171623003907773,40.07432249528524,-88.11540672119926,603.6978585829963,Corn
171623003907856,40.070401000805184,-88.08062360006488,448.46182279842697,Corn
171623003908187,40.047620498743036,-88.1529829226045,442.9877857991511,Soybeans
171623003908442,40.032489596401895,-88.13575515538643,429.1406045511337,Corn
171623003907508,40.088183836585266,-88.06930618767073,419.0927943401628,Corn
171623003907854,40.07202753565987,-88.09668259469686,395.00063121048026,Corn
171623003907723,40.07635883789289,-88.1319129801303,338.5014306298384,Soybeans
171623003907306,40.10746993937725,-88.0828663647209,336.2348045128668,Corn
171623003907460,40.093504353157535,-88.13166046578266,316.74793131787305,Soybeans
171623003908443,40.03077007539608,-88.1134550519711,309.4606155747353,Corn
171623003907398,40.096962501869825,-88.1527604107841,305.71519891151644,Soybeans
171623003907504,40.09186458598428,-88.08747878998469,301.1229555081793,Corn
171623003907498,40.09305325686135,-88.11708270738505,296.86525247578413,Soybeans
171623003908189,40.04540695011412,-88.09754674122904,284.6532726249128,Soybeans
171623003908186,40.046534334331604,-88.11817946347006,273.3936979220343,Corn
171623003907358,40.100502898383205,-88.13807422469708,253.62760206534227,Soybeans
171623003907209,40.10966062521457,-88.13638061724478,234.6180965005902,Soybeans
171623003908175,40.04921723841378,-88.138203382163,225.5334539054523,Corn
171623003907944,40.061612838552385,-88.15778834758997,221.12960200388795,Soybeans
171623003907971,40.057210895575075,-88.06830718167193,211.42400434805054,Corn
171623003907291,40.10525126316169,-88.06274573831796,210.51869783747654,Corn
171623003908417,40.033390376064155,-88.15588513479075,208.36020833954058,Soybeans
171623003907332,40.09987679986777,-88.11501123175616,205.10039159805265,Corn
171623003908167,40.04846078370425,-88.08909051020805,204.2238131742763,Corn
171623003907676,40.07860136944165,-88.15162582519208,203.32052361320257,Soybeans
171623003908292,40.0363975661618,-88.11248498103315,195.9262532881512,Soybeans
171623003908358,40.034595605934896,-88.12791775773786,193.85213526759856,Soybeans
171623003907264,40.105598918153476,-88.09668691014411,191.4564462051902,Soybeans
171623003907750,40.07122247337891,-88.15303710199986,189.2051543180562,Soybeans
171623003907386,40.099065044875324,-88.05873896325052,177.02161359016395,Corn
171623003907502,40.08987874563268,-88.10078120431145,173.88950578566045,Corn
171623003907257,40.10528627412444,-88.11124743281798,171.11369882651553,Soybeans
171623003907947,40.05800355573319,-88.09902917328566,168.51982270931663,Corn
171623003907940,40.057264110734806,-88.13354217461159,166.65416133499696,Soybeans
171623003907946,40.058546590903354,-88.10983797114191,165.39997607259016,Soybeans
171623003907669,40.076770008144486,-88.06805539425439,163.84906602833107,Corn
171623003907216,40.109389748963935,-88.06655795920197,161.56077117668502,Soybeans
171623003907945,40.05845644386019,-88.14782505868396,155.04665103248254,Corn
171623003907695,40.077890615020564,-88.14010101041748,153.94821826347479,Corn
171623003907941,40.058604210215655,-88.11930434833073,146.57156116631705,Corn
171623003907505,40.09269873329845,-88.08006946705783,142.21470029516192,Soybeans
171623003907501,40.09002712731661,-88.10830783400789,140.882290561005,Corn
171623003907307,40.10704492838933,-88.07587272423372,138.48807367926815,Soybeans
171623003908177,40.043724861017864,-88.12939148379655,131.75875095763084,Corn
171623003908063,40.05177546790895,-88.11333276983832,123.657671345197,Soybeans
171623003907497,40.08733285929444,-88.14775707367542,120.68282113887228,Soybeans
171623003907447,40.09130944167038,-88.06006704954711,118.81858964709323,Soybeans
171623003907308,40.10163952745363,-88.1584498304299,118.60012150571808,Soybeans
171623003907620,40.07854754069977,-88.08230870203212,117.30175153129271,Soybeans
171623003907948,40.057239897567904,-88.08459148194983,112.73906614999065,Soybeans
